着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,2,4,ニシノコウダイ,56,松若風馬,1:08.0,,2-2,33.9,19.4,7,[西] 長谷川浩,西山茂行,550.0,3歳未勝利,202309030303,阪神,1200,右,芝,良,晴,2020105484,牡,3,486,+8
2,1,1,フライングブレード,56,和田竜二,1:08.1,クビ,3-3,33.9,6.0,3,[西] 飯田祐史,中辻明,220.0,3歳未勝利,202309030303,阪神,1200,右,芝,良,晴,2020100906,牡,3,472,-6
3,5,10,ゴレアドール,54,坂井瑠星,1:08.3,1.1/4,1-1,34.3,6.3,4,[西] 大久保龍,寺田寿男,140.0,3歳未勝利,202309030303,阪神,1200,右,芝,良,晴,2020103631,牝,3,404,-4
4,3,6,インクルードダイヤ,54,団野大成,1:08.6,2,5-5,34.2,13.5,6,[西] 武英智,シルクレーシング,83.0,3歳未勝利,202309030303,阪神,1200,右,芝,良,晴,2020103418,牝,3,452,+4
5,3,5,アスターフラッペ,54,藤岡康太,1:09.5,5,9-7,34.8,25.3,8,[西] 杉山佳明,加藤久枝,55.0,3歳未勝利,202309030303,阪神,1200,右,芝,良,晴,2020103752,牝,3,436,+6
6,2,3,モノセーラス,51,西塚洸二,1:09.5,アタマ,12-12,34.0,6.6,5,[西] 中村直也,辻助,,3歳未勝利,202309030303,阪神,1200,右,芝,良,晴,2020106644,牝,3,412,0
7,8,16,リッスンアップ,54,松山弘平,1:09.5,ハナ,11-11,34.2,4.8,2,[西] 藤岡健一,サンデーレーシング,,3歳未勝利,202309030303,阪神,1200,右,芝,良,晴,2020103681,牝,3,442,0
8,4,7,ナリタシン,56,岩田望来,1:09.6,クビ,3-4,35.3,2.8,1,[西] 藤沢則雄,オースミ,,3歳未勝利,202309030303,阪神,1200,右,芝,良,晴,2020106401,牡,3,454,-2
9,1,2,メルキュリオ,54,長岡禎仁,1:09.6,アタマ,9-7,34.9,100.9,10,[西] 杉山佳明,中辻明,,3歳未勝利,202309030303,阪神,1200,右,芝,良,晴,2020100057,牝,3,494,+4
10,5,9,ファリガ,54,菱田裕二,1:09.8,1,14-13,34.0,66.5,9,[西] 笹田和秀,寺田寿男,,3歳未勝利,202309030303,阪神,1200,右,芝,良,晴,2020101014,牝,3,418,+12
11,6,11,ケサランパサラン,54,田中健,1:10.1,2,8-10,35.3,105.7,11,[西] 中村直也,中村智幸,,3歳未勝利,202309030303,阪神,1200,右,芝,良,晴,2020100167,牝,3,418,+6
12,7,13,シュガープラム,54,酒井学,1:10.1,クビ,7-5,35.6,373.8,15,[西] 高橋康之,大田恭充,,3歳未勝利,202309030303,阪神,1200,右,芝,良,晴,2020105497,牝,3,434,-12
13,8,15,ノリノリ,53,田口貫太,1:10.3,3/4,13-14,34.2,214.4,14,[西] 石橋守,岡浩二,,3歳未勝利,202309030303,阪神,1200,右,芝,良,晴,2020109066,牡,3,490,-10
14,4,8,クリノサクセス,54,和田翼,1:10.7,2.1/2,14-15,34.4,205.4,13,[西] 谷潔,栗本博晴,,3歳未勝利,202309030303,阪神,1200,右,芝,良,晴,2020102354,牝,3,458,+2
15,6,12,アルマパラディン,56,幸英明,1:12.2,9,5-7,37.7,193.7,12,[西] 吉村圭司,コウトミックレーシング,,3歳未勝利,202309030303,阪神,1200,右,芝,良,晴,2020105290,牡,3,476,0
中,7,14,ラブモンテー,54,高倉稜,,,16-16,,694.0,16,[西] 森田直行,増田陽一,,3歳未勝利,202309030303,阪神,1200,右,芝,良,晴,2020104963,牝,3,538,+8
