着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,8,16,タイトルホルダー,58,横山和生,3:16.2,,1-1-1-1,36.4,4.9,2,[東] 栗田徹,山田弘,"20,378.0",第165回天皇賞(春)(G1),202209021211,阪神,3200,右,稍重,晴,2018103559,牡,4,474,-2
2,8,18,ディープボンド,58,和田竜二,3:17.3,7,4-4-4-3,37.1,2.1,1,[西] 大久保龍,前田晋二,"8,108.0",第165回天皇賞(春)(G1),202209021211,阪神,3200,右,稍重,晴,2017102170,牡,5,504,-6
3,4,7,テーオーロイヤル,58,菱田裕二,3:17.4,1,4-4-2-2,37.4,9.9,4,[西] 岡田稲男,小笹公也,"5,054.0",第165回天皇賞(春)(G1),202209021211,阪神,3200,右,稍重,晴,2018106545,牡,4,460,+4
4,5,9,ヒートオンビート,58,池添謙一,3:18.0,3.1/2,9-11-9-7,37.0,12.4,5,[西] 友道康夫,社台レースホース,"3,000.0",第165回天皇賞(春)(G1),202209021211,阪神,3200,右,稍重,晴,2017104936,牡,5,478,-2
5,1,1,アイアンバローズ,58,石橋脩,3:18.3,2,6-6-6-4,37.7,7.8,3,[西] 上村洋行,猪熊広次,"2,000.0",第165回天皇賞(春)(G1),202209021211,阪神,3200,右,稍重,晴,2017105477,牡,5,496,-2
6,6,11,マイネルファンロン,58,松岡正海,3:18.7,2.1/2,9-9-7-7,37.9,82.9,14,[東] 手塚貴久,サラブレッドクラブ・ラフィアン,,第165回天皇賞(春)(G1),202209021211,阪神,3200,右,稍重,晴,2015100744,牡,7,478,-12
7,7,13,ロバートソンキー,58,伊藤工真,3:18.8,3/4,12-12-12-11,37.5,45.4,10,[東] 林徹,保坂和孝,,第165回天皇賞(春)(G1),202209021211,阪神,3200,右,稍重,晴,2017101707,牡,5,470,-12
8,7,14,ヴァルコス,58,三浦皇成,3:18.9,1/2,9-9-9-11,37.6,126.1,17,[西] 友道康夫,佐々木主浩,,第165回天皇賞(春)(G1),202209021211,阪神,3200,右,稍重,晴,2017105612,牡,5,518,0
9,3,6,メロディーレーン,56,岩田望来,3:19.0,クビ,7-8-7-10,38.0,123.3,16,[西] 森田直行,岡田牧雄,,第165回天皇賞(春)(G1),202209021211,阪神,3200,右,稍重,晴,2016105526,牝,6,352,+6
10,5,10,トーセンカンビーナ,58,藤岡康太,3:19.4,2.1/2,17-17-17-14,37.8,146.7,18,[東] 加藤征弘,島川隆哉,,第165回天皇賞(春)(G1),202209021211,阪神,3200,右,稍重,晴,2016104990,牡,6,472,-2
11,3,5,マカオンドール,58,松山弘平,3:20.2,5,13-14-9-9,39.3,13.6,6,[西] 今野貞一,關陽彦,,第165回天皇賞(春)(G1),202209021211,阪神,3200,右,稍重,晴,2018105293,牡,4,488,-4
12,2,3,ディバインフォース,58,田辺裕信,3:20.2,ハナ,16-15-16-14,38.7,67.9,12,[西] 寺島良,吉田晴哉,,第165回天皇賞(春)(G1),202209021211,阪神,3200,右,稍重,晴,2016104291,牡,6,462,-2
13,2,4,ユーキャンスマイル,58,藤岡佑介,3:20.7,2.1/2,14-12-12-11,39.4,78.6,13,[西] 友道康夫,金子真人ホールディングス,,第165回天皇賞(春)(G1),202209021211,阪神,3200,右,稍重,晴,2015105032,牡,7,516,+2
14,4,8,クレッシェンドラヴ,58,内田博幸,3:21.1,2.1/2,2-2-2-4,40.7,117.2,15,[東] 林徹,広尾レース,,第165回天皇賞(春)(G1),202209021211,阪神,3200,右,稍重,晴,2014104386,牡,8,496,-10
15,6,12,ハヤヤッコ,58,武豊,3:21.1,クビ,14-15-12-14,39.6,58.1,11,[東] 国枝栄,金子真人ホールディングス,,第165回天皇賞(春)(G1),202209021211,阪神,3200,右,稍重,晴,2016104624,牡,6,476,-8
16,1,2,ハーツイストワール,58,ルメール,3:22.2,7,7-6-5-4,41.6,31.7,7,[東] 国枝栄,嶋田賢,,第165回天皇賞(春)(G1),202209021211,阪神,3200,右,稍重,晴,2016104887,牡,6,480,-10
17,7,15,タガノディアマンテ,58,幸英明,3:24.1,大,3-3-12-17,41.5,41.6,9,[西] 鮫島一歩,八木良司,,第165回天皇賞(春)(G1),202209021211,阪神,3200,右,稍重,晴,2016100527,牡,6,484,0
中,8,17,シルヴァーソニック,58,川田将雅,,,,,35.8,8,[西] 池江泰寿,社台レースホース,,第165回天皇賞(春)(G1),202209021211,阪神,3200,右,稍重,晴,2016104946,牡,6,454,+6
