着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,4,8,オメガパフューム,59,横山和生,1:50.5,,12-12-12-11,36.3,3.8,2,[西] 安田翔伍,原禮子,"3,857.4",第27回アンタレスステークス(G3),202209020811,阪神,1800,右,良,晴,2015104273,牡,7,464,+6
2,7,13,グロリアムンディ,56,坂井瑠星,1:50.6,1/2,5-4-4-4,36.9,3.6,1,[西] 大久保龍,吉田和美,"1,516.4",第27回アンタレスステークス(G3),202209020811,阪神,1800,右,良,晴,2018105251,牡,4,496,-8
3,5,10,ニューモニュメント,56,小崎綾也,1:50.9,1.3/4,11-11-10-9,36.9,69.4,13,[西] 小崎憲,前田葉子,958.2,第27回アンタレスステークス(G3),202209020811,阪神,1800,右,良,晴,2016105885,牡,6,492,+2
4,6,11,プリティーチャンス,54,柴山雄一,1:51.0,1/2,12-12-12-12,36.9,61.1,12,[西] 野中賢二,廣崎利洋ＨＤ,570.0,第27回アンタレスステークス(G3),202209020811,阪神,1800,右,良,晴,2017104105,牝,5,466,+5
5,3,5,ケイアイパープル,57,藤岡康太,1:51.0,ハナ,3-3-3-1,37.5,9.7,4,[西] 村山明,ケイアイスタリオン,380.0,第27回アンタレスステークス(G3),202209020811,阪神,1800,右,良,晴,2016100349,牡,6,502,-2
6,2,3,カデナ,57,池添謙一,1:51.0,ハナ,14-14-14-14,36.6,28.9,8,[西] 中竹和也,前田幸治,,第27回アンタレスステークス(G3),202209020811,阪神,1800,右,良,晴,2014104449,牡,8,482,+8
7,2,4,ウェスタールンド,56,藤岡佑介,1:51.0,クビ,16-16-16-16,36.0,15.7,6,[西] 佐々木晶,サンデーレーシング,,第27回アンタレスステークス(G3),202209020811,阪神,1800,右,良,晴,2012104882,セ,1,488,+9
8,8,16,オーヴェルニュ,57,鮫島克駿,1:51.1,アタマ,6-7-4-5,37.3,13.2,5,[西] 西村真幸,杉山忠国,,第27回アンタレスステークス(G3),202209020811,阪神,1800,右,良,晴,2016101455,牡,6,478,-4
9,8,15,ヒストリーメイカー,56,内田博幸,1:51.4,2,6-8-8-5,37.5,18.9,7,[西] 新谷功一,岩崎僖澄,,第27回アンタレスステークス(G3),202209020811,阪神,1800,右,良,晴,2014102787,牡,8,528,+4
10,3,6,サクラアリュール,56,酒井学,1:51.5,クビ,10-8-8-9,37.6,187.8,16,[西] 村山明,さくらコマース,,第27回アンタレスステークス(G3),202209020811,阪神,1800,右,良,晴,2015105868,牡,7,490,+2
11,4,7,アルーブルト,56,浜中俊,1:51.9,2.1/2,6-4-4-5,38.2,29.6,9,[西] 畑端省吾,ディアレストクラブ,,第27回アンタレスステークス(G3),202209020811,阪神,1800,右,良,晴,2018100763,牡,4,476,-4
12,1,2,ライトウォーリア,56,松若風馬,1:52.0,1/2,2-2-2-2,38.5,40.7,11,[西] 高野友和,キャロットファーム,,第27回アンタレスステークス(G3),202209020811,阪神,1800,右,良,晴,2017105395,牡,5,506,-2
13,5,9,ユアヒストリー,56,富田暁,1:52.1,3/4,9-8-10-12,38.0,86.4,14,[西] 池添学,ＭＯＭＯレーシング,,第27回アンタレスステークス(G3),202209020811,阪神,1800,右,良,晴,2018104876,牡,4,460,-4
14,7,14,デュープロセス,56,秋山真一,1:52.7,3.1/2,15-14-15-14,38.2,173.2,15,[西] 安田隆行,ゴドルフィン,,第27回アンタレスステークス(G3),202209020811,阪神,1800,右,良,晴,2016110013,牡,6,482,+8
15,6,12,バーデンヴァイラー,56,幸英明,1:53.4,4,4-4-4-2,39.8,3.9,3,[西] 斉藤崇史,キャロットファーム,,第27回アンタレスステークス(G3),202209020811,阪神,1800,右,良,晴,2018104951,牡,4,496,-14
16,1,1,アナザートゥルース,57,松田大作,1:55.2,大,1-1-1-5,41.8,38.0,10,[東] 高木登,ノルマンディーサラブレッドレーシング,,第27回アンタレスステークス(G3),202209020811,阪神,1800,右,良,晴,2014104259,セ,8,482,0
