着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,馬主,賞金(万円),raceName,raceID,cource,distance,around,groungState,weather,houceID,sex,age
1,6,12,メイショウハリオ,57,浜中俊,1:50.2,,14-14-11-8,36.5,5.8,2,492(-16),[西] 岡田稲男,松本好雄,"3,857.4",第29回マーチステークス(G3),202206030211,中山,1800,右, 重 , 曇 ,2017106404,牡,5
2,5,10,ケンシンコウ,57,丸山元気,1:50.3,1/2,4-5-4-2,37.1,39.3,12,500(-4),[東] 小西一男,天野克彦,"1,516.4",第29回マーチステークス(G3),202206030211,中山,1800,右, 重 , 曇 ,2017103641,牡,5
3,3,6,ブルベアイリーデ,57,戸崎圭太,1:50.9,3.1/2,6-6-6-5,37.5,5.8,3,496(-2),[西] 杉山晴紀,森中蕃,764.1,第29回マーチステークス(G3),202206030211,中山,1800,右, 重 , 曇 ,2016102633,牡,6
3,6,11,ヒストリーメイカー,56,内田博幸,1:50.9,同着,6-6-6-7,37.5,5.0,1,524(-4),[西] 新谷功一,岩崎僖澄,764.1,第29回マーチステークス(G3),202206030211,中山,1800,右, 重 , 曇 ,2014102787,牡,8
5,7,13,カデナ,57.5,三浦皇成,1:51.2,1.1/2,16-15-13-12,37.3,17.9,8,474(-10),[西] 中竹和也,前田幸治,380.0,第29回マーチステークス(G3),202206030211,中山,1800,右, 重 , 曇 ,2014104449,牡,8
6,8,16,デュープロセス,57,古川吉洋,1:51.3,1/2,10-10-13-12,37.4,60.1,14,474(-6),[西] 安田隆行,ゴドルフィン,,第29回マーチステークス(G3),202206030211,中山,1800,右, 重 , 曇 ,2016110013,牡,6
7,7,14,オメガレインボー,56.5,横山和生,1:51.3,アタマ,8-8-8-8,37.7,6.6,4,462(-6),[西] 安田翔伍,原禮子,,第29回マーチステークス(G3),202206030211,中山,1800,右, 重 , 曇 ,2016105537,牡,6
8,5,9,アナザートゥルース,57.5,菅原明良,1:51.4,1/2,3-3-2-2,38.3,10.1,7,482(-3),[東] 高木登,ノルマンディーサラブレッドレーシング,,第29回マーチステークス(G3),202206030211,中山,1800,右, 重 , 曇 ,2014104259,セ,8
9,4,8,デルマルーヴル,55,丹内祐次,1:51.5,1/2,12-10-8-8,38.0,139.9,15,508(+1),[東] 戸田博文,浅沼廣幸,,第29回マーチステークス(G3),202206030211,中山,1800,右, 重 , 曇 ,2016103957,牡,6
10,2,4,ダノンスプレンダー,56.5,斎藤新,1:51.6,クビ,9-8-8-8,38.0,9.4,6,510(0),[西] 安田隆行,ダノックス,,第29回マーチステークス(G3),202206030211,中山,1800,右, 重 , 曇 ,2016104231,牡,6
11,2,3,エクレアスパークル,56,津村明秀,1:51.7,3/4,4-3-4-5,38.4,23.4,10,478(-2),[西] 今野貞一,李柱坤,,第29回マーチステークス(G3),202206030211,中山,1800,右, 重 , 曇 ,2014106120,牡,8
12,1,2,ダノンファスト,56,田中勝春,1:51.9,3/4,15-15-16-16,37.7,23.4,9,472(-2),[東] 菊沢隆徳,ダノックス,,第29回マーチステークス(G3),202206030211,中山,1800,右, 重 , 曇 ,2017104819,牡,5
13,3,5,アイオライト,56,菱田裕二,1:52.2,1.3/4,1-1-1-1,39.2,9.1,5,492(-2),[東] 武藤善則,田頭勇貴,,第29回マーチステークス(G3),202206030211,中山,1800,右, 重 , 曇 ,2017106279,牡,5
14,4,7,ワイドファラオ,57.5,大野拓弥,1:52.3,1/2,2-2-2-2,39.3,41.7,13,520(+3),[西] 辻野泰之,幅田昌伸,,第29回マーチステークス(G3),202206030211,中山,1800,右, 重 , 曇 ,2016106260,牡,6
15,8,15,マイネルユキツバキ,57,柴田大知,1:52.9,3.1/2,12-10-11-12,39.2,187.2,16,536(0),[東] 高木登,サラブレッドクラブ・ラフィアン,,第29回マーチステークス(G3),202206030211,中山,1800,右, 重 , 曇 ,2015101960,牡,7
16,1,1,バレッティ,56,野中悠太,1:53.9,6,10-10-13-15,40.0,37.7,11,504(-8),[東] 久保田貴,社台レースホース,,第29回マーチステークス(G3),202206030211,中山,1800,右, 重 , 曇 ,2014105506,セ,8
