着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,2,4,テーオーケインズ,59,松山弘平,1:57.0,,3-3-4-4,35.9,1.8,1,[西] 高柳大輔,小笹公也,"3,856.7",第29回平安ステークス(G3),202207030511,中京,1900,左,良,曇,2017101010,牡,5,500,0
2,2,3,ケイアイパープル,57,藤岡康太,1:57.4,2.1/2,3-3-2-3,36.5,23.0,7,[西] 村山明,ケイアイスタリオン,"1,516.2",第29回平安ステークス(G3),202207030511,中京,1900,左,良,曇,2016100349,牡,6,498,-4
3,3,5,メイショウハリオ,57,浜中俊,1:57.8,2.1/2,9-8-7-8,36.4,7.0,3,[西] 岡田稲男,松本好雄,958.1,第29回平安ステークス(G3),202207030511,中京,1900,左,良,曇,2017106404,牡,5,506,+14
4,5,10,スマッシングハーツ,56,鮫島克駿,1:58.0,1.1/2,11-12-11-12,36.3,54.8,11,[西] 新谷功一,前田幸治,570.0,第29回平安ステークス(G3),202207030511,中京,1900,左,良,曇,2016100617,牡,6,514,+6
5,4,8,スワーヴアラミス,58,松田大作,1:58.1,1/2,5-5-4-5,37.0,21.8,6,[西] 須貝尚介,ＮＩＣＫＳ,380.0,第29回平安ステークス(G3),202207030511,中京,1900,左,良,曇,2015104526,牡,7,490,0
6,1,2,オーヴェルニュ,57,福永祐一,1:58.3,1.1/4,7-5-7-6,36.9,5.3,2,[西] 西村真幸,杉山忠国,,第29回平安ステークス(G3),202207030511,中京,1900,左,良,曇,2016101455,牡,6,478,0
7,5,9,サンライズホープ,57,幸英明,1:58.3,クビ,1-1-1-1,37.5,13.6,4,[西] 羽月友彦,松岡隆雄,,第29回平安ステークス(G3),202207030511,中京,1900,左,良,曇,2017100988,牡,5,546,+2
8,1,1,カデナ,57,武豊,1:58.4,クビ,16-15-16-16,36.2,35.0,9,[西] 中竹和也,前田幸治,,第29回平安ステークス(G3),202207030511,中京,1900,左,良,曇,2014104449,牡,8,488,+6
9,6,11,サンダーブリッツ,56,川田将雅,1:58.5,1/2,11-11-11-11,36.8,25.3,8,[東] 久保田貴,草間庸文,,第29回平安ステークス(G3),202207030511,中京,1900,左,良,曇,2017103617,牡,5,502,+2
10,4,7,デルマルーヴル,57,吉田隼人,1:58.5,クビ,14-13-14-14,36.6,228.1,16,[東] 戸田博文,浅沼廣幸,,第29回平安ステークス(G3),202207030511,中京,1900,左,良,曇,2016103957,牡,6,504,-4
11,8,15,ダンツキャッスル,56,柴山雄一,1:58.8,1.3/4,15-15-14-14,36.8,180.5,15,[西] 谷潔,山元哲二,,第29回平安ステークス(G3),202207030511,中京,1900,左,良,曇,2016101093,牡,6,480,-16
12,8,16,ペルセウスシチー,56,和田竜二,1:59.0,1,9-8-7-8,37.6,53.6,10,[東] 池上昌和,友駿ホースクラブ,,第29回平安ステークス(G3),202207030511,中京,1900,左,良,曇,2017101895,牡,5,484,0
13,3,6,ブルベアイリーデ,56,Ｍ．デム,1:59.1,1,5-5-4-6,37.9,18.4,5,[西] 杉山晴紀,ブルアンドベア,,第29回平安ステークス(G3),202207030511,中京,1900,左,良,曇,2016102633,牡,6,496,0
14,6,12,グレートタイム,56,藤岡佑介,1:59.6,3,7-8-7-8,38.2,55.4,12,[西] 藤原英昭,金子真人ホールディングス,,第29回平安ステークス(G3),202207030511,中京,1900,左,良,曇,2015104571,牡,7,486,+4
15,7,14,ヒストリーメイカー,56,小崎綾也,1:59.7,1/2,13-13-11-12,38.0,180.2,14,[西] 新谷功一,岩崎僖澄,,第29回平安ステークス(G3),202207030511,中京,1900,左,良,曇,2014102787,牡,8,530,+2
16,7,13,ダノンファラオ,58,坂井瑠星,2:00.0,1.3/4,2-2-2-2,39.1,97.5,13,[西] 矢作芳人,ダノックス,,第29回平安ステークス(G3),202207030511,中京,1900,左,良,曇,2017105292,牡,5,544,+8
