着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,馬主,賞金(万円),raceName,raceID,cource,distance,around,groungState,weather,houceID,sex,age
1,6,6,ジャングロ,56,武豊,1:33.5,,1-1-1,34.7,7.0,3,460(-4),[西] 森秀行,藤田晋,"5,478.4",第40回ニュージーランドT(G2),202206030511,中山,1600,右, 良 , 晴 ,2019110105,牡,3
2,1,1,マテンロウオリオン,56,横山典弘,1:33.5,アタマ,5-5-7,34.1,2.3,1,486(0),[西] 昆貢,寺田千代乃,"2,222.4",第40回ニュージーランドT(G2),202206030511,中山,1600,右, 良 , 晴 ,2019100965,牡,3
3,6,7,リューベック,56,吉田隼人,1:33.8,1.1/2,5-4-4,34.6,11.5,6,486(-8),[西] 須貝尚介,金子真人ホールディングス,"1,411.2",第40回ニュージーランドT(G2),202206030511,中山,1600,右, 良 , 晴 ,2019105483,牡,3
4,8,11,エンペザー,56,坂井瑠星,1:34.0,1.1/4,2-2-2,35.0,12.1,7,480(0),[西] 田中克典,リーヴァ,810.0,第40回ニュージーランドT(G2),202206030511,中山,1600,右, 良 , 晴 ,2019102888,牡,3
5,2,2,ティーガーデン,56,ルメール,1:34.3,1.3/4,9-8-5,34.8,4.9,2,498(-12),[東] 萩原清,サンデーレーシング,540.0,第40回ニュージーランドT(G2),202206030511,中山,1600,右, 良 , 晴 ,2019105529,牡,3
6,7,9,エイシンシュトルム,56,石川裕紀,1:34.3,ハナ,8-9-8,34.7,125.2,10,484(-2),[東] 勢司和浩,栄進堂,,第40回ニュージーランドT(G2),202206030511,中山,1600,右, 良 , 晴 ,2019103451,牡,3
7,8,10,デルマグレムリン,56,Ｍ．デム,1:34.4,3/4,9-5-5,35.1,9.5,4,434(-4),[西] 五十嵐忠,浅沼廣幸,,第40回ニュージーランドT(G2),202206030511,中山,1600,右, 良 , 晴 ,2019105877,牡,3
8,7,8,サーマルウインド,54,岩田康誠,1:34.5,1/2,3-2-2,35.4,12.5,8,510(-4),[東] 奥村武,キャロットファーム,,第40回ニュージーランドT(G2),202206030511,中山,1600,右, 良 , 晴 ,2019105505,牝,3
9,4,4,アバンチュリエ,56,横山武史,1:35.0,3.1/2,11-9-8,35.4,11.2,5,466(0),[東] 大竹正博,ＤＭＭドリームクラブ,,第40回ニュージーランドT(G2),202206030511,中山,1600,右, 良 , 晴 ,2019105347,牡,3
10,3,3,モチベーション,54,秋山稔樹,1:35.2,1,4-5-8,35.8,169.2,11,428(0),[東] 清水英克,石川秀守,,第40回ニュージーランドT(G2),202206030511,中山,1600,右, 良 , 晴 ,2019103280,牝,3
11,5,5,ベルウッドブラボー,56,丸山元気,1:35.3,1,5-11-11,35.6,55.8,9,458(0),[東] 和田雄二,鈴木照雄,,第40回ニュージーランドT(G2),202206030511,中山,1600,右, 良 , 晴 ,2019103806,牡,3
