着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,馬主,賞金(万円),raceName,raceID,cource,distance,around,groungState,weather,houceID,sex,age
1,1,2,ナランフレグ,57,丸田恭介,1:08.3,,15-14,33.9,27.8,8,486(-12),[東] 宗像義忠,村木克成,"17,378.0",第52回高松宮記念(G1),202207020611,中京,1200,左, 重 , 晴 ,2016106453,牡,6
2,5,9,ロータスランド,55,岩田望来,1:08.3,クビ,7-8,34.3,12.9,5,476(-8),[西] 辻野泰之,小林英一ホールディングス,"6,908.0",第52回高松宮記念(G1),202207020611,中京,1200,左, 重 , 晴 ,2017110144,牝,5
3,5,10,キルロード,57,菊沢一樹,1:08.3,ハナ,3-3,34.7,225.8,17,500(-6),[東] 田村康仁,エンジェルレーシング,"4,354.0",第52回高松宮記念(G1),202207020611,中京,1200,左, 重 , 晴 ,2015101028,セ,7
4,7,13,トゥラヴェスーラ,57,鮫島克駿,1:08.4,クビ,12-11,34.2,27.0,7,490(-2),[西] 高橋康之,吉田照哉,"2,600.0",第52回高松宮記念(G1),202207020611,中京,1200,左, 重 , 晴 ,2015104364,牡,7
5,8,17,メイケイエール,55,池添謙一,1:08.4,クビ,7-8,34.4,5.2,2,468(-4),[西] 武英智,名古屋競馬,"1,700.0",第52回高松宮記念(G1),202207020611,中京,1200,左, 重 , 晴 ,2018105069,牝,4
6,4,7,レシステンシア,55,横山武史,1:08.6,1,1-1,35.2,2.2,1,516(+18),[西] 松下武士,キャロットファーム,,第52回高松宮記念(G1),202207020611,中京,1200,左, 重 , 晴 ,2017105563,牝,5
7,2,3,シャインガーネット,55,田辺裕信,1:08.6,ハナ,10-10,34.5,30.0,9,482(+2),[東] 栗田徹,山口功一郎,,第52回高松宮記念(G1),202207020611,中京,1200,左, 重 , 晴 ,2017105541,牝,5
8,6,12,エイティーンガール,55,秋山真一,1:08.6,ハナ,17-17,33.8,128.0,15,456(0),[西] 飯田祐史,中山泰志,,第52回高松宮記念(G1),202207020611,中京,1200,左, 重 , 晴 ,2016103143,牝,6
9,3,6,サンライズオネスト,57,武豊,1:08.6,クビ,15-14,34.1,60.7,11,478(-2),[西] 河内洋,松岡隆雄,,第52回高松宮記念(G1),202207020611,中京,1200,左, 重 , 晴 ,2017106720,牡,5
9,7,15,ファストフォース,57,柴山雄一,1:08.6,同着,5-5,34.7,204.0,16,522(+4),[西] 西村真幸,安原浩司,,第52回高松宮記念(G1),202207020611,中京,1200,左, 重 , 晴 ,2016102197,牡,6
11,4,8,ジャンダルム,57,荻野極,1:08.7,クビ,2-2,35.3,65.0,13,514(+4),[西] 池江泰寿,前田幸治,,第52回高松宮記念(G1),202207020611,中京,1200,左, 重 , 晴 ,2015110013,牡,7
12,8,18,グレナディアガーズ,57,福永祐一,1:08.8,1/2,14-14,34.3,5.6,3,460(-8),[西] 中内田充,サンデーレーシング,,第52回高松宮記念(G1),202207020611,中京,1200,左, 重 , 晴 ,2018104934,牡,4
13,2,4,ライトオンキュー,57,横山典弘,1:08.9,1/2,3-3,35.2,80.5,14,518(+6),[西] 昆貢,ゴドルフィン,,第52回高松宮記念(G1),202207020611,中京,1200,左, 重 , 晴 ,2015101599,牡,7
14,7,14,ダイアトニック,57,岩田康誠,1:08.9,クビ,18-18,34.0,18.4,6,474(-4),[西] 安田隆行,シルクレーシング,,第52回高松宮記念(G1),202207020611,中京,1200,左, 重 , 晴 ,2015103057,牡,7
15,1,1,サリオス,57,石橋脩,1:08.9,ハナ,7-5,35.0,10.7,4,550(+8),[東] 堀宣行,シルクレーシング,,第52回高松宮記念(G1),202207020611,中京,1200,左, 重 , 晴 ,2017105327,牡,5
16,6,11,クリノガウディー,57,松岡正海,1:09.2,1.3/4,10-11,35.0,64.8,12,492(-2),[西] 藤沢則雄,栗本博晴,,第52回高松宮記念(G1),202207020611,中京,1200,左, 重 , 晴 ,2016103690,牡,6
17,3,5,レイハリア,55,亀田温心,1:09.3,1/2,5-5,35.4,47.2,10,452(+6),[東] 田島俊明,ヒダカ・ブリーダーズ・ユニオン,,第52回高松宮記念(G1),202207020611,中京,1200,左, 重 , 晴 ,2018104029,牝,4
18,8,16,ダイメイフジ,57,小沢大仁,1:09.4,クビ,12-11,35.1,389.8,18,530(+2),[西] 森田直行,宮本昇,,第52回高松宮記念(G1),202207020611,中京,1200,左, 重 , 晴 ,2014102625,牡,8
