着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,2,3,タイムトゥヘヴン,55,大野拓弥,1:32.3,,15-14-14,33.7,27.4,11,[東] 戸田博文,ＤＭＭドリームクラブ,"4,156.7",第54回ダービー卿チャレンジ(G3),202206030311,中山,1600,右,良,晴,2018100184,牡,4,488,+4
2,1,1,フォルコメン,54,Ｍ．デム,1:32.3,アタマ,14-14-11,33.8,27.5,12,[東] 堀宣行,社台レースホース,"1,616.2",第54回ダービー卿チャレンジ(G3),202206030311,中山,1600,右,良,晴,2016104926,セ,6,512,+8
3,5,10,ダーリントンホール,56,横山武史,1:32.5,3/4,8-6-7,34.6,4.3,1,[東] 木村哲也,ゴドルフィン,"1,008.1",第54回ダービー卿チャレンジ(G3),202206030311,中山,1600,右,良,晴,2017110026,牡,5,544,+6
4,4,8,グラティアス,56,三浦皇成,1:32.5,アタマ,5-4-3,34.9,5.6,2,[東] 宮田敬介,スリーエイチレーシング,620.0,第54回ダービー卿チャレンジ(G3),202206030311,中山,1600,右,良,晴,2018105277,牡,4,498,-4
5,3,5,ギルデッドミラー,53,石橋脩,1:32.7,1,5-9-7,34.7,13.9,8,[西] 松永幹夫,シルクレーシング,410.0,第54回ダービー卿チャレンジ(G3),202206030311,中山,1600,右,良,晴,2017105409,牝,5,484,-10
6,1,2,インテンスライト,54,菊沢一樹,1:32.7,クビ,8-12-11,34.6,15.8,9,[東] 菊沢隆徳,堂守貴志,,第54回ダービー卿チャレンジ(G3),202206030311,中山,1600,右,良,晴,2016100151,牡,6,502,+2
7,6,11,カイザーミノル,56,横山典弘,1:32.8,3/4,8-6-4,35.0,10.4,5,[西] 北出成人,吉岡實,,第54回ダービー卿チャレンジ(G3),202206030311,中山,1600,右,良,晴,2016106232,牡,6,454,-12
8,7,13,ミッキーブリランテ,56,内田博幸,1:32.8,ハナ,12-9-7,34.8,30.0,13,[西] 矢作芳人,野田みづき,,第54回ダービー卿チャレンジ(G3),202206030311,中山,1600,右,良,晴,2016104435,牡,6,480,-2
9,8,15,カテドラル,57,戸崎圭太,1:32.9,クビ,16-16-14,34.1,12.3,6,[西] 池添学,キャロットファーム,,第54回ダービー卿チャレンジ(G3),202206030311,中山,1600,右,良,晴,2016104711,牡,6,494,0
10,4,7,ザダル,58,田辺裕信,1:33.0,3/4,12-13-14,34.8,7.5,4,[東] 大竹正博,キャロットファーム,,第54回ダービー卿チャレンジ(G3),202206030311,中山,1600,右,良,晴,2016104772,牡,6,504,+2
11,7,14,インターミッション,52,嶋田純次,1:33.0,クビ,8-9-11,35.0,91.1,14,[東] 手塚貴久,下河辺牧場,,第54回ダービー卿チャレンジ(G3),202206030311,中山,1600,右,良,晴,2017100437,牝,5,418,-2
12,6,12,トーラスジェミニ,57.5,原優介,1:33.1,クビ,2-2-2,35.7,99.4,15,[東] 小桧山悟,柴原榮,,第54回ダービー卿チャレンジ(G3),202206030311,中山,1600,右,良,晴,2016106518,牡,6,468,-1
13,2,4,ボンセルヴィーソ,56,藤懸貴志,1:33.3,1.1/2,2-4-4,35.6,12.9,7,[西] 池添学,名古屋友豊,,第54回ダービー卿チャレンジ(G3),202206030311,中山,1600,右,良,晴,2014102036,牡,8,492,-2
14,8,16,ノルカソルカ,54,藤岡佑介,1:33.4,クビ,5-6-4,35.6,25.5,10,[西] 藤岡健一,幅田昌伸,,第54回ダービー卿チャレンジ(G3),202206030311,中山,1600,右,良,晴,2017100440,牡,5,490,-8
15,3,6,リフレイム,53,野中悠太,1:33.7,2,1-1-1,36.6,6.7,3,[東] 黒岩陽一,山口裕介,,第54回ダービー卿チャレンジ(G3),202206030311,中山,1600,右,良,晴,2018110089,牝,4,514,0
16,5,9,サトノフェイバー,57,津村明秀,1:36.7,大,2-2-7,39.4,128.0,16,[西] 南井克巳,サトミホースカンパニー,,第54回ダービー卿チャレンジ(G3),202206030311,中山,1600,右,良,晴,2015106153,牡,7,510,0
