着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,馬主,賞金(万円),raceName,raceID,cource,distance,around,groungState,weather,houceID,sex,age
1,3,5,テイエムスパーダ,48,今村聖奈,1:05.8,,1-1,34.0,5.0,2,486(-2),[西] 五十嵐忠,竹園正繼,"4,159.5",第58回CBC賞(G3),202210030211,小倉,1200,右,良,曇,2019103422,牝,3
2,4,8,タイセイビジョン,57,川田将雅,1:06.4,3.1/2,14-12,33.5,5.7,3,478(+2),[西] 西村真幸,田中成奉,"1,617.0",第58回CBC賞(G3),202210030211,小倉,1200,右,良,曇,2017105406,牡,5
3,1,2,アネゴハダ,49,藤懸貴志,1:06.5,1/2,3-3,34.4,3.9,1,436(0),[西] 佐々木晶,岡浩二,"1,008.5",第58回CBC賞(G3),202210030211,小倉,1200,右,良,曇,2019106102,牝,3
4,6,12,スマートリアン,53,秋山真一,1:06.7,1.1/4,15-15,33.7,6.5,5,476(-2),[西] 石橋守,大川徹,620.0,第58回CBC賞(G3),202210030211,小倉,1200,右,良,曇,2017106387,牝,5
5,5,10,メイショウチタン,54,荻野極,1:06.8,3/4,8-8,34.4,97.7,13,470(+4),[西] 本田優,松本好雄,410.0,第58回CBC賞(G3),202210030211,小倉,1200,右,良,曇,2017104172,牡,5
6,5,9,ロードベイリーフ,54,和田竜二,1:06.9,アタマ,11-8,34.2,28.2,8,478(-10),[西] 森田直行,ロードホースクラブ,,第58回CBC賞(G3),202210030211,小倉,1200,右,良,曇,2017103005,牡,5
7,8,15,スティクス,52,幸英明,1:06.9,アタマ,2-2,35.0,10.2,6,496(+2),[西] 武幸四郎,シルクレーシング,,第58回CBC賞(G3),202210030211,小倉,1200,右,良,曇,2018105259,牝,4
8,7,14,タマモティータイム,50,国分恭介,1:06.9,アタマ,8-4,34.5,49.3,11,474(+8),[西] 南井克巳,タマモ,,第58回CBC賞(G3),202210030211,小倉,1200,右,良,曇,2017104067,牝,5
9,6,11,カリボール,54,西村淳也,1:07.0,3/4,11-12,34.3,20.7,7,496(0),[西] 須貝尚介,大和屋暁,,第58回CBC賞(G3),202210030211,小倉,1200,右,良,曇,2016104668,牡,6
10,8,16,アンコールプリュ,53,藤岡康太,1:07.1,クビ,11-12,34.4,73.3,12,446(-2),[西] 友道康夫,金子真人ホールディングス,,第58回CBC賞(G3),202210030211,小倉,1200,右,良,曇,2015104721,牝,7
11,3,6,メイショウケイメイ,51,小沢大仁,1:07.2,3/4,16-15,34.0,191.8,15,438(+4),[西] 南井克巳,松本好雄,,第58回CBC賞(G3),202210030211,小倉,1200,右,良,曇,2016102032,牝,6
12,8,17,ファストフォース,56,松山弘平,1:07.4,1.1/4,3-4,35.3,6.0,4,508(-14),[西] 西村真幸,安原浩司,,第58回CBC賞(G3),202210030211,小倉,1200,右,良,曇,2016102197,牡,6
13,1,1,レインボーフラッグ,53,国分優作,1:07.5,1/2,5-4,35.2,230.5,16,456(-4),[西] 小崎憲,グリーンファーム,,第58回CBC賞(G3),202210030211,小倉,1200,右,良,曇,2013105727,牡,9
14,2,4,シホノレジーナ,49,角田大河,1:07.8,2,10-11,35.3,126.8,14,498(-8),[西] 寺島良,村瀬寛紀,,第58回CBC賞(G3),202210030211,小倉,1200,右,良,曇,2017104622,牝,5
15,4,7,スナークスター,52,富田暁,1:07.9,3/4,17-17,34.5,277.9,17,460(-6),[西] 川村禎彦,杉本豊,,第58回CBC賞(G3),202210030211,小倉,1200,右,良,曇,2016100214,セ,6
16,2,3,レジェーロ,54,団野大成,1:08.4,3,5-4,36.1,29.1,9,422(+4),[西] 西村真幸,山本剛士,,第58回CBC賞(G3),202210030211,小倉,1200,右,良,曇,2017101765,牝,5
17,7,13,モントライゼ,55,北村友一,1:09.1,4,5-8,36.8,37.0,10,506(+6),[西] 松永幹夫,キャロットファーム,,第58回CBC賞(G3),202210030211,小倉,1200,右,良,曇,2018105296,牡,4
