着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,馬主,賞金(万円),raceName,raceID,cource,distance,around,groungState,weather,houceID,sex,age
1,4,7,ウインマーベル,57,松山弘平,1:08.2,,8-8,34.4,4.6,1,464(-2),[東] 深山雅史,ウイン,"4,065.1",第5回葵ステークス(G3),202207030711,中京,1200,左, 良 , 晴 ,2019100213,牡,3
2,3,6,コムストックロード,54,和田竜二,1:08.6,2.1/2,10-9,34.7,20.2,9,426(-4),[東] 中野栄治,ビッグレッドファーム,"1,618.6",第5回葵ステークス(G3),202207030711,中京,1200,左, 良 , 晴 ,2019100765,牝,3
3,7,13,ブレスレスリー,54,Ｍ．デム,1:08.6,ハナ,9-9,34.7,6.8,4,458(+8),[西] 藤岡健一,ゴドルフィン,"1,009.3",第5回葵ステークス(G3),202207030711,中京,1200,左, 良 , 晴 ,2019101903,牝,3
4,6,12,ウインモナーク,56,松岡正海,1:08.6,クビ,3-2,35.1,9.0,6,480(-4),[東] 奥平雅士,ウイン,600.0,第5回葵ステークス(G3),202207030711,中京,1200,左, 良 , 晴 ,2019100214,牡,3
5,5,9,カイカノキセキ,54,鮫島克駿,1:08.7,クビ,11-11,34.7,6.6,3,478(+10),[西] 池添学,キャロットファーム,400.0,第5回葵ステークス(G3),202207030711,中京,1200,左, 良 , 晴 ,2019104536,牝,3
6,3,5,シゲルファンノユメ,56,藤岡佑介,1:08.8,3/4,15-16,34.1,8.7,5,484(+4),[東] 伊藤圭三,森中蕃,,第5回葵ステークス(G3),202207030711,中京,1200,左, 良 , 晴 ,2019103136,牡,3
7,5,10,ケイアイオメガ,56,藤懸貴志,1:08.8,クビ,13-13,34.5,36.9,11,460(-4),[西] 梅田智之,ケイアイスタリオン,,第5回葵ステークス(G3),202207030711,中京,1200,左, 良 , 晴 ,2019106076,牡,3
8,2,3,カジュフェイス,56,秋山真一,1:08.9,1/2,5-5,35.2,44.7,15,474(-4),[西] 森田直行,ＳＴレーシング,,第5回葵ステークス(G3),202207030711,中京,1200,左, 良 , 晴 ,2019106870,牡,3
9,7,14,ニシノレバンテ,56,松田大作,1:09.0,1/2,11-12,34.8,48.2,16,492(+8),[東] 栗田徹,西山茂行,,第5回葵ステークス(G3),202207030711,中京,1200,左, 良 , 晴 ,2019102938,牡,3
10,2,4,トップキャスト,54,坂井瑠星,1:09.0,ハナ,1-1,35.8,35.3,10,436(+10),[西] 高橋康之,Ｇ１レーシング,,第5回葵ステークス(G3),202207030711,中京,1200,左, 良 , 晴 ,2019105317,牝,3
11,1,2,テイエムスパーダ,54,国分恭介,1:09.0,クビ,5-5,35.3,14.8,7,480(-14),[西] 五十嵐忠,竹園正繼,,第5回葵ステークス(G3),202207030711,中京,1200,左, 良 , 晴 ,2019103422,牝,3
12,4,8,ヴィアドロローサ,56,横山和生,1:09.2,3/4,15-17,34.4,39.1,13,450(0),[西] 安田隆行,スリーエイチレーシング,,第5回葵ステークス(G3),202207030711,中京,1200,左, 良 , 晴 ,2019101679,牡,3
13,8,16,コラリン,54,池添謙一,1:09.4,1,14-14,34.9,6.1,2,450(+6),[東] 木村哲也,シルクレーシング,,第5回葵ステークス(G3),202207030711,中京,1200,左, 良 , 晴 ,2019105476,牝,3
14,8,15,ジャスパークローネ,56,武豊,1:09.5,1,3-4,35.9,19.3,8,484(0),[西] 森秀行,加藤和夫,,第5回葵ステークス(G3),202207030711,中京,1200,左, 良 , 晴 ,2019110107,牡,3
15,6,11,タヤスゴールド,56,江田照男,1:09.6,1/2,15-14,35.2,41.2,14,502(+4),[東] 岩戸孝樹,横瀬兼二,,第5回葵ステークス(G3),202207030711,中京,1200,左, 良 , 晴 ,2019102505,牡,3
16,1,1,ウラカワノキセキ,54,藤岡康太,1:10.0,2.1/2,2-2,36.5,37.6,12,456(+4),[東] 田島俊明,ライオンレースホース,,第5回葵ステークス(G3),202207030711,中京,1200,左, 良 , 晴 ,2019103428,牝,3
17,8,17,ゼットレヨン,56,酒井学,1:10.6,3.1/2,5-5,36.9,121.1,17,468(-4),[西] 吉田直弘,フォーレスト,,第5回葵ステークス(G3),202207030711,中京,1200,左, 良 , 晴 ,2019103065,牡,3
