着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,馬主,賞金(万円),raceName,raceID,cource,distance,around,groungState,weather,houceID,sex,age
1,3,6,タイトルホルダー,58,横山和生,2:09.7,,2-2-2-2,36.1,4.2,2,476(+2),[東] 栗田徹,山田弘,"20,378.0",第63回宝塚記念(G1),202209030411,阪神,2200,右,良,晴,2018103559,牡,4
2,5,10,ヒシイグアス,58,レーン,2:10.0,2,6-6-6-5,35.9,9.5,5,490(-4),[東] 堀宣行,阿部雅英,"8,108.0",第63回宝塚記念(G1),202209030411,阪神,2200,右,良,晴,2016104877,牡,6
3,4,7,デアリングタクト,56,松山弘平,2:10.3,2,10-10-8-8,36.0,7.3,4,480(-6),[西] 杉山晴紀,ノルマンディーサラブレッドレーシング,"5,054.0",第63回宝塚記念(G1),202209030411,阪神,2200,右,良,晴,2017100720,牝,5
4,7,15,ディープボンド,58,和田竜二,2:10.3,ハナ,3-3-3-3,36.6,5.6,3,502(-2),[西] 大久保龍,前田晋二,"3,000.0",第63回宝塚記念(G1),202209030411,阪神,2200,右,良,晴,2017102170,牡,5
5,5,9,マイネルファンロン,58,Ｍ．デム,2:10.6,1.3/4,8-8-6-5,36.5,175.2,14,474(-4),[東] 手塚貴久,サラブレッドクラブ・ラフィアン,"2,000.0",第63回宝塚記念(G1),202209030411,阪神,2200,右,良,晴,2015100744,牡,7
6,2,4,エフフォーリア,58,横山武史,2:10.6,ハナ,9-8-8-10,36.2,3.3,1,520(-2),[東] 鹿戸雄一,キャロットファーム,,第63回宝塚記念(G1),202209030411,阪神,2200,右,良,晴,2018105027,牡,4
7,6,12,ウインマリリン,56,松岡正海,2:10.8,1.1/4,4-5-5-4,36.9,73.0,9,476(+14),[東] 手塚貴久,ウイン,,第63回宝塚記念(G1),202209030411,阪神,2200,右,良,晴,2017101431,牝,5
8,6,11,パンサラッサ,58,吉田豊,2:10.8,アタマ,1-1-1-1,37.4,10.2,6,476(0),[西] 矢作芳人,広尾レース,,第63回宝塚記念(G1),202209030411,阪神,2200,右,良,晴,2017106711,牡,5
9,4,8,ステイフーリッシュ,58,坂井瑠星,2:11.1,2,11-10-11-11,36.5,78.1,10,472(0),[西] 矢作芳人,社台レースホース,,第63回宝塚記念(G1),202209030411,阪神,2200,右,良,晴,2015104287,牡,7
10,8,17,ギベオン,58,西村淳也,2:11.4,1.3/4,6-6-8-8,37.2,276.4,17,510(+2),[西] 藤原英昭,社台レースホース,,第63回宝塚記念(G1),202209030411,阪神,2200,右,良,晴,2015104317,牡,7
11,8,18,ポタジェ,58,吉田隼人,2:11.5,3/4,12-12-11-11,36.9,22.9,8,464(-4),[西] 友道康夫,金子真人ホールディングス,,第63回宝塚記念(G1),202209030411,阪神,2200,右,良,晴,2017105376,牡,5
12,8,16,グロリアムンディ,58,福永祐一,2:11.9,2,14-14-13-13,37.1,142.3,13,496(0),[西] 大久保龍,吉田和美,,第63回宝塚記念(G1),202209030411,阪神,2200,右,良,晴,2018105251,牡,4
13,2,3,メロディーレーン,56,団野大成,2:12.0,3/4,12-13-13-15,37.0,210.3,16,354(+2),[西] 森田直行,岡田牧雄,,第63回宝塚記念(G1),202209030411,阪神,2200,右,良,晴,2016105526,牝,6
14,7,13,アリーヴォ,58,武豊,2:12.1,1/2,17-17-17-17,36.9,12.0,7,504(+4),[西] 杉山晴紀,シルクレーシング,,第63回宝塚記念(G1),202209030411,阪神,2200,右,良,晴,2018104960,牡,4
15,3,5,アイアンバローズ,58,石橋脩,2:12.2,クビ,15-15-13-15,37.2,183.8,15,492(-4),[西] 上村洋行,猪熊広次,,第63回宝塚記念(G1),202209030411,阪神,2200,右,良,晴,2017105477,牡,5
16,1,2,アフリカンゴールド,58,国分恭介,2:12.4,1.1/4,4-3-3-5,38.5,122.0,12,468(0),[西] 西園正都,ゴドルフィン,,第63回宝塚記念(G1),202209030411,阪神,2200,右,良,晴,2015101654,セ,7
17,7,14,キングオブコージ,58,横山典弘,2:15.5,大,15-15-16-14,40.5,114.3,11,498(-8),[西] 安田翔伍,増田和啓,,第63回宝塚記念(G1),202209030411,阪神,2200,右,良,晴,2016104376,牡,6
除,1,1,オーソリティ,58,ルメール,,,,,---,,516(0),[東] 木村哲也,シルクレーシング,,第63回宝塚記念(G1),202209030411,阪神,2200,右,良,晴,2017105649,牡,5
