着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,馬主,賞金(万円),raceName,raceID,cource,distance,around,groungState,weather,houceID,sex,age
1,3,3,アスクワイルドモア,56,岩田望来,2:09.5,,9-8-9-6,35.2,17.8,8,462(-2),[西] 藤原英昭,廣崎利洋ＨＤ,"5,489.6",第70回京都新聞杯(G2),202207030111,中京,2200,左, 良 , 晴 ,2019104937,牡,3
2,8,11,ヴェローナシチー,56,酒井学,2:09.6,1/2,11-11-6-3,35.4,17.3,7,500(-2),[西] 佐々木晶,友駿ホースクラブ,"2,225.6",第70回京都新聞杯(G2),202207030111,中京,2200,左, 良 , 晴 ,2019100126,牡,3
3,7,9,ボルドグフーシュ,56,松田大作,2:09.8,1.1/4,12-12-12-12,35.0,10.4,5,484(-4),[西] 宮本博,社台レースホース,"1,412.8",第70回京都新聞杯(G2),202207030111,中京,2200,左, 良 , 晴 ,2019104909,牡,3
4,2,2,リカンカブール,56,藤岡康太,2:10.2,2.1/2,4-4-3-3,36.1,156.6,12,488(+8),[西] 田中克典,ラ・メール,810.0,第70回京都新聞杯(G2),202207030111,中京,2200,左, 良 , 晴 ,2019103823,牡,3
5,7,10,ブラックブロッサム,56,レーン,2:10.3,クビ,2-3-3-3,36.2,2.1,1,516(-6),[西] 斉藤崇史,シルクレーシング,540.0,第70回京都新聞杯(G2),202207030111,中京,2200,左, 良 , 晴 ,2019104600,牡,3
6,5,6,アップデート,56,浜中俊,2:10.5,1.1/4,9-10-10-10,35.9,69.5,11,506(+2),[西] 杉山晴紀,石川達絵,,第70回京都新聞杯(G2),202207030111,中京,2200,左, 良 , 晴 ,2019101716,牡,3
7,6,7,リアド,56,川田将雅,2:10.6,1/2,4-5-6-6,36.3,6.1,3,462(-8),[西] 友道康夫,大塚亮一,,第70回京都新聞杯(G2),202207030111,中京,2200,左, 良 , 晴 ,2019105277,牡,3
8,6,8,ショウナンアデイブ,56,池添謙一,2:11.0,2.1/2,8-8-10-10,36.5,50.8,9,486(-6),[西] 高野友和,国本哲秀,,第70回京都新聞杯(G2),202207030111,中京,2200,左, 良 , 晴 ,2019105239,牡,3
9,1,1,メイショウラナキラ,56,秋山真一,2:11.0,ハナ,1-1-1-1,37.1,9.8,4,438(+2),[西] 南井克巳,松本好雄,,第70回京都新聞杯(G2),202207030111,中京,2200,左, 良 , 晴 ,2019102820,牡,3
10,4,4,ストップザタイム,56,古川吉洋,2:12.3,8,4-7-6-6,38.0,58.4,10,510(-6),[西] 昆貢,ゴドルフィン,,第70回京都新聞杯(G2),202207030111,中京,2200,左, 良 , 晴 ,2019101873,牡,3
11,5,5,ミスターホワイト,56,吉田隼人,2:12.5,1.1/4,2-2-2-2,38.5,16.4,6,506(+6),[西] 矢作芳人,吉澤ホールディングス,,第70回京都新聞杯(G2),202207030111,中京,2200,左, 良 , 晴 ,2019101664,牡,3
12,8,12,ポッドボレット,56,福永祐一,2:13.7,7,4-5-5-6,39.4,5.1,2,502(0),[西] 辻野泰之,小川眞査雄,,第70回京都新聞杯(G2),202207030111,中京,2200,左, 良 , 晴 ,2019104762,牡,3
