着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,6,11,タイトルホルダー,57,横山和生,2:35.4,,1-1-1-1,34.7,1.6,1,[東] 栗田徹,山田弘,"6,809.2",第70回日経賞(G2),202206030111,中山,2500,右,稍重,曇,2018103559,牡,4,476,0
2,4,6,ボッケリーニ,56,浜中俊,2:35.5,クビ,2-3-3-4,34.6,12.2,4,[西] 池江泰寿,金子真人ホールディングス,"2,731.2",第70回日経賞(G2),202206030111,中山,2500,右,稍重,曇,2016104618,牡,6,466,+2
3,4,7,ヒートオンビート,56,池添謙一,2:35.5,クビ,4-3-3-2,34.6,6.3,2,[西] 友道康夫,社台レースホース,"1,715.6",第70回日経賞(G2),202206030111,中山,2500,右,稍重,曇,2017104936,牡,5,480,0
4,5,8,クレッシェンドラヴ,56,内田博幸,2:35.7,3/4,2-2-2-2,34.9,48.7,8,[東] 林徹,広尾レース,"1,000.0",第70回日経賞(G2),202206030111,中山,2500,右,稍重,曇,2014104386,牡,8,506,+2
5,2,2,ハヤヤッコ,56,大野拓弥,2:35.8,3/4,5-5-6-7,34.6,103.6,13,[東] 国枝栄,金子真人ホールディングス,670.0,第70回日経賞(G2),202206030111,中山,2500,右,稍重,曇,2016104624,牡,6,484,-14
6,3,5,ワイドエンペラー,55,津村明秀,2:35.9,クビ,11-9-3-4,35.0,29.6,7,[西] 藤岡健一,幅田昌伸,,第70回日経賞(G2),202206030111,中山,2500,右,稍重,曇,2018101660,牡,4,486,-8
7,8,15,スマイル,56,石橋脩,2:36.2,2,5-6-6-6,35.1,52.8,9,[東] 堀宣行,石川達絵,,第70回日経賞(G2),202206030111,中山,2500,右,稍重,曇,2016104696,牡,6,540,0
8,7,12,アサマノイタズラ,56,横山武史,2:36.3,3/4,12-12-9-9,34.9,8.1,3,[東] 手塚貴久,星野壽市,,第70回日経賞(G2),202206030111,中山,2500,右,稍重,曇,2018101071,牡,4,502,+8
9,7,13,ラストドラフト,56,三浦皇成,2:36.3,アタマ,14-14-13-13,34.7,76.0,11,[東] 戸田博文,社台レースホース,,第70回日経賞(G2),202206030111,中山,2500,右,稍重,曇,2016105239,牡,6,470,0
10,2,3,エフェクトオン,56,菅原明良,2:36.4,クビ,7-7-9-9,35.0,56.3,10,[東] 久保田貴,社台レースホース,,第70回日経賞(G2),202206030111,中山,2500,右,稍重,曇,2016104965,牡,6,450,+2
11,1,1,ディバインフォース,57,田辺裕信,2:36.6,1.1/2,13-12-13-13,35.0,16.8,6,[西] 寺島良,吉田晴哉,,第70回日経賞(G2),202206030111,中山,2500,右,稍重,曇,2016104291,牡,6,464,0
12,8,14,ウインキートス,55,丹内祐次,2:36.6,ハナ,15-14-15-15,34.7,12.4,5,[東] 宗像義忠,ウイン,,第70回日経賞(G2),202206030111,中山,2500,右,稍重,曇,2017101419,牝,5,470,-10
13,6,10,トラストケンシン,56,和田竜二,2:36.8,1,9-9-6-7,35.7,224.3,14,[東] 高橋文雅,菅波立知子,,第70回日経賞(G2),202206030111,中山,2500,右,稍重,曇,2015100831,牡,7,474,0
14,5,9,ランフォザローゼス,56,田中勝春,2:37.0,1.1/2,8-7-9-12,35.7,96.1,12,[東] 蛯名正義,窪田芳郎,,第70回日経賞(G2),202206030111,中山,2500,右,稍重,曇,2016104650,セ,6,508,+6
15,3,4,サクラアリュール,56,丸山元気,2:38.7,10,9-9-9-9,37.3,241.4,15,[西] 村山明,さくらコマース,,第70回日経賞(G2),202206030111,中山,2500,右,稍重,曇,2015105868,牡,7,488,+18
