着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,馬主,賞金(万円),raceName,raceID,cource,distance,around,groungState,weather,houceID,sex,age
1,2,2,ヴェルトライゼンデ,56,レーン,1:57.7,,5-6-5-5,33.7,4.9,2,496(+2),[西] 池江泰寿,サンデーレーシング,"4,336.4",第75回鳴尾記念(G3),202207040111,中京,2000,左, 良 , 晴 ,2017105567,牡,5
2,8,9,ジェラルディーナ,54,福永祐一,1:57.8,1/2,7-7-7-7,33.6,5.4,4,452(+2),[西] 斉藤崇史,サンデーレーシング,"1,710.4",第75回鳴尾記念(G3),202207040111,中京,2000,左, 良 , 晴 ,2018105081,牝,4
3,3,3,サンレイポケット,56,鮫島克駿,1:57.8,アタマ,7-7-7-7,33.6,5.1,3,480(0),[西] 高橋義忠,永井啓弍,"1,105.2",第75回鳴尾記念(G3),202207040111,中京,2000,左, 良 , 晴 ,2015102735,牡,7
4,5,5,ギベオン,56,西村淳也,1:57.9,1/2,3-3-3-3,34.3,12.8,7,508(+4),[西] 藤原英昭,社台レースホース,650.0,第75回鳴尾記念(G3),202207040111,中京,2000,左, 良 , 晴 ,2015104317,牡,7
5,4,4,キングオブドラゴン,56,岩田望来,1:58.0,1,1-1-1-1,34.6,6.2,5,500(-4),[西] 矢作芳人,窪田芳郎,430.0,第75回鳴尾記念(G3),202207040111,中京,2000,左, 良 , 晴 ,2017104917,牡,5
6,7,8,カイザーバローズ,56,川田将雅,1:58.1,クビ,5-5-5-5,34.2,4.1,1,444(-8),[西] 中内田充,猪熊広次,,第75回鳴尾記念(G3),202207040111,中京,2000,左, 良 , 晴 ,2018100401,牡,4
7,7,7,ショウナンバルディ,56,坂井瑠星,1:58.5,2.1/2,2-2-2-2,35.0,9.6,6,456(+4),[西] 松下武士,国本哲秀,,第75回鳴尾記念(G3),202207040111,中京,2000,左, 良 , 晴 ,2016102929,牡,6
8,1,1,パトリック,56,松山弘平,1:58.9,2.1/2,10-10-10-9,34.4,43.1,9,476(-2),[西] 岡田稲男,カナヤマホールディングス,,第75回鳴尾記念(G3),202207040111,中京,2000,左, 良 , 晴 ,2016102133,牡,6
9,8,10,ヤシャマル,56,松田大作,1:59.0,3/4,3-3-3-3,35.3,18.3,8,508(-4),[東] 尾形和幸,高橋文男,,第75回鳴尾記念(G3),202207040111,中京,2000,左, 良 , 晴 ,2017101201,牡,5
10,6,6,アドマイヤジャスタ,56,吉田隼人,1:59.4,2.1/2,9-9-9-9,34.9,116.6,10,508(-12),[西] 石坂公一,近藤旬子,,第75回鳴尾記念(G3),202207040111,中京,2000,左, 良 , 晴 ,2016104702,牡,6
