着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,馬主,賞金(万円),raceName,raceID,cource,distance,around,groungState,weather,houceID,sex,age
1,4,8,スターズオンアース,55,川田将雅,1:32.9,,10-9,33.5,14.5,7,470(-4),[東] 高柳瑞樹,社台レースホース,"15,759.4",第82回桜花賞(G1),202209020611,阪神,1600,右, 良 , 晴 ,2019104740,牝,3
2,3,6,ウォーターナビレラ,55,武豊,1:32.9,ハナ,2-2,34.0,6.2,3,464(-14),[西] 武幸四郎,山岡正人,"5,988.4",第82回桜花賞(G1),202209020611,阪神,1600,右, 良 , 晴 ,2019102788,牝,3
3,1,1,ナムラクレア,55,浜中俊,1:33.0,1/2,4-4,33.9,14.5,6,462(-4),[西] 長谷川浩,奈村睦弘,"3,694.2",第82回桜花賞(G1),202209020611,阪神,1600,右, 良 , 晴 ,2019103753,牝,3
4,8,16,サークルオブライフ,55,Ｍ．デム,1:33.0,クビ,13-15,33.3,5.1,2,482(+6),[東] 国枝栄,飯田正剛,"2,000.0",第82回桜花賞(G1),202209020611,阪神,1600,右, 良 , 晴 ,2019106342,牝,3
5,3,5,ピンハイ,55,高倉稜,1:33.0,クビ,12-13,33.4,38.5,13,406(-8),[西] 田中克典,北畑忍,"1,300.0",第82回桜花賞(G1),202209020611,阪神,1600,右, 良 , 晴 ,2019102772,牝,3
6,2,4,パーソナルハイ,55,吉田豊,1:33.1,アタマ,8-9,33.8,79.5,17,458(-6),[西] 矢作芳人,Ｇ１レーシング,,第82回桜花賞(G1),202209020611,阪神,1600,右, 良 , 晴 ,2019104483,牝,3
7,6,12,ベルクレスタ,55,吉田隼人,1:33.1,ハナ,13-13,33.5,22.3,9,460(-4),[西] 須貝尚介,サンデーレーシング,,第82回桜花賞(G1),202209020611,阪神,1600,右, 良 , 晴 ,2019105415,牝,3
8,2,3,アルーリングウェイ,55,藤岡佑介,1:33.1,クビ,4-4,34.0,13.5,5,454(0),[西] 藤岡健一,サンデーレーシング,,第82回桜花賞(G1),202209020611,阪神,1600,右, 良 , 晴 ,2019104522,牝,3
9,4,7,サブライムアンセム,55,岩田望来,1:33.1,クビ,8-9,33.7,32.5,11,478(+2),[西] 藤原英昭,サンデーレーシング,,第82回桜花賞(G1),202209020611,阪神,1600,右, 良 , 晴 ,2019105345,牝,3
10,8,18,ナミュール,55,横山武史,1:33.2,クビ,13-12,33.7,3.2,1,426(-4),[西] 高野友和,キャロットファーム,,第82回桜花賞(G1),202209020611,阪神,1600,右, 良 , 晴 ,2019105213,牝,3
11,7,14,プレサージュリフト,55,戸崎圭太,1:33.4,1.1/2,18-17,33.5,11.3,4,460(-4),[東] 木村哲也,サンデーレーシング,,第82回桜花賞(G1),202209020611,阪神,1600,右, 良 , 晴 ,2019105226,牝,3
12,1,2,カフジテトラゴン,55,古川吉洋,1:33.7,1.3/4,1-1,34.9,169.7,18,442(-8),[西] 武英智,加藤守,,第82回桜花賞(G1),202209020611,阪神,1600,右, 良 , 晴 ,2019106184,牝,3
13,5,9,クロスマジェスティ,55,武藤雅,1:33.8,1/2,4-7,34.6,65.4,15,472(+2),[東] 水野貴広,辻高史,,第82回桜花賞(G1),202209020611,阪神,1600,右, 良 , 晴 ,2019106623,牝,3
14,8,17,フォラブリューテ,55,ルメール,1:33.8,アタマ,16-15,34.1,36.9,12,442(+2),[東] 宮田敬介,キャロットファーム,,第82回桜花賞(G1),202209020611,阪神,1600,右, 良 , 晴 ,2019105398,牝,3
15,7,15,アネゴハダ,55,幸英明,1:33.8,クビ,10-7,34.6,78.0,16,436(-2),[西] 佐々木晶,岡浩二,,第82回桜花賞(G1),202209020611,阪神,1600,右, 良 , 晴 ,2019106102,牝,3
16,5,10,ライラック,55,福永祐一,1:34.0,1.1/4,16-17,34.1,22.4,10,426(+6),[東] 相沢郁,芹澤精一,,第82回桜花賞(G1),202209020611,阪神,1600,右, 良 , 晴 ,2019103588,牝,3
17,7,13,ラズベリームース,55,池添謙一,1:34.1,クビ,4-4,35.0,58.2,14,480(-20),[東] 林徹,保坂和孝,,第82回桜花賞(G1),202209020611,阪神,1600,右, 良 , 晴 ,2019105572,牝,3
18,6,11,ラブリイユアアイズ,55,坂井瑠星,1:34.3,1.1/4,2-3,35.3,21.2,8,432(+4),[東] 黒岩陽一,井内康之,,第82回桜花賞(G1),202209020611,阪神,1600,右, 良 , 晴 ,2019104698,牝,3
