着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,馬主,賞金(万円),raceName,raceID,cource,distance,around,groungState,weather,houceID,sex,age
1,7,14,ジオグリフ,57,福永祐一,1:59.7,,5-5-6-3,34.3,9.1,5,494(-4),[東] 木村哲也,サンデーレーシング,"17,432.5",第82回皐月賞(G1),202206030811,中山,2000,右, 良 , 曇 ,2019105056,牡,3
2,8,18,イクイノックス,57,ルメール,1:59.8,1,7-5-4-3,34.6,5.7,3,492(+10),[東] 木村哲也,シルクレーシング,"6,695.0",第82回皐月賞(G1),202206030811,中山,2000,右, 良 , 曇 ,2019105219,牡,3
3,6,12,ドウデュース,57,武豊,2:00.0,1.1/4,15-15-16-14,33.8,3.9,1,496(-8),[西] 友道康夫,キーファーズ,"4,147.5",第82回皐月賞(G1),202206030811,中山,2000,右, 良 , 曇 ,2019105283,牡,3
4,1,1,ダノンベルーガ,57,川田将雅,2:00.0,クビ,5-5-6-3,34.6,5.0,2,504(+2),[東] 堀宣行,ダノックス,"2,300.0",第82回皐月賞(G1),202206030811,中山,2000,右, 良 , 曇 ,2019105195,牡,3
5,1,2,アスクビクターモア,57,田辺裕信,2:00.1,クビ,1-1-1-1,35.3,9.9,6,474(0),[東] 田村康仁,廣崎利洋ＨＤ,"1,500.0",第82回皐月賞(G1),202206030811,中山,2000,右, 良 , 曇 ,2019104706,牡,3
6,6,11,オニャンコポン,57,菅原明良,2:00.1,クビ,11-11-11-8,34.3,19.0,8,468(+2),[東] 小島茂之,田原邦男,,第82回皐月賞(G1),202206030811,中山,2000,右, 良 , 曇 ,2019104756,牡,3
7,3,6,ジャスティンロック,57,戸崎圭太,2:00.3,3/4,15-15-16-16,34.2,35.0,10,494(-4),[西] 吉岡辰弥,三木正浩,,第82回皐月賞(G1),202206030811,中山,2000,右, 良 , 曇 ,2019103662,牡,3
8,7,15,ラーグルフ,57,丸田恭介,2:00.3,クビ,14-13-14-14,34.3,162.7,16,488(+2),[東] 宗像義忠,村木隆,,第82回皐月賞(G1),202206030811,中山,2000,右, 良 , 曇 ,2019101782,牡,3
9,5,10,ジャスティンパレス,57,Ｍ．デム,2:00.5,1.1/4,17-17-14-12,34.5,20.9,9,458(+8),[西] 杉山晴紀,三木正浩,,第82回皐月賞(G1),202206030811,中山,2000,右, 良 , 曇 ,2019105346,牡,3
10,4,8,ダンテスヴュー,57,吉田隼人,2:00.5,ハナ,7-8-8-8,34.9,86.2,15,456(+4),[西] 友道康夫,金子真人ホールディングス,,第82回皐月賞(G1),202206030811,中山,2000,右, 良 , 曇 ,2019106933,牡,3
11,7,13,ビーアストニッシド,57,和田竜二,2:00.5,クビ,3-3-4-3,35.2,72.7,13,468(-4),[西] 飯田雄三,村中徹,,第82回皐月賞(G1),202206030811,中山,2000,右, 良 , 曇 ,2019101348,牡,3
12,8,17,マテンロウレオ,57,横山典弘,2:00.5,クビ,18-18-18-18,33.9,84.7,14,482(+4),[西] 昆貢,寺田千代乃,,第82回皐月賞(G1),202206030811,中山,2000,右, 良 , 曇 ,2019102879,牡,3
13,2,4,キラーアビリティ,57,横山武史,2:00.6,1/2,7-8-8-8,35.0,7.6,4,468(0),[西] 斉藤崇史,キャロットファーム,,第82回皐月賞(G1),202206030811,中山,2000,右, 良 , 曇 ,2019105155,牡,3
14,4,7,ボーンディスウェイ,57,石橋脩,2:00.7,クビ,3-3-3-3,35.6,49.3,12,490(-4),[東] 牧光二,平田修,,第82回皐月賞(G1),202206030811,中山,2000,右, 良 , 曇 ,2019104658,牡,3
15,3,5,グランドライン,57,三浦皇成,2:00.9,1.1/4,13-13-11-12,35.1,210.9,17,514(-4),[東] 高木登,ラ・メール,,第82回皐月賞(G1),202206030811,中山,2000,右, 良 , 曇 ,2019100861,牡,3
16,8,16,デシエルト,57,岩田康誠,2:01.3,2.1/2,2-2-2-2,36.3,15.5,7,512(+2),[西] 安田隆行,ラ・メール,,第82回皐月賞(G1),202206030811,中山,2000,右, 良 , 曇 ,2019105039,牡,3
17,5,9,サトノヘリオス,57,岩田望来,2:01.7,2.1/2,7-8-8-8,36.1,47.5,11,472(-2),[西] 友道康夫,サトミホースカンパニー,,第82回皐月賞(G1),202206030811,中山,2000,右, 良 , 曇 ,2019104666,牡,3
18,2,3,トーセンヴァンノ,57,木幡巧也,2:02.7,6,11-11-11-16,36.9,311.8,18,478(0),[東] 小桧山悟,島川隆哉,,第82回皐月賞(G1),202206030811,中山,2000,右, 良 , 曇 ,2019104409,牡,3
